Country Name En,Continent Name En,ASFIS species Name En,Unit Name,Year,Production
Un. Sov. Soc. Rep.,,Bighead carp,Tonnes - live weight,1991,5381.0
Un. Sov. Soc. Rep.,,Brown seaweeds,Tonnes - live weight,1991,9742.0
Un. Sov. Soc. Rep.,,Chum(=Keta=Dog) salmon,Tonnes - live weight,1991,0.0
Un. Sov. Soc. Rep.,,Common carp,Tonnes - live weight,1991,154427.0
Un. Sov. Soc. Rep.,,Flatfishes NEI,Tonnes - live weight,1991,71.0
Un. Sov. Soc. Rep.,,Grass carp(=White amur),Tonnes - live weight,1991,1873.0
Un. Sov. Soc. Rep.,,Mediterranean mussel,Tonnes - live weight,1991,1370.0
Un. Sov. Soc. Rep.,,Mullets NEI,Tonnes - live weight,1991,40.0
Un. Sov. Soc. Rep.,,Peled,Tonnes - live weight,1991,0.0
Un. Sov. Soc. Rep.,,Rainbow trout,Tonnes - live weight,1991,2002.0
Un. Sov. Soc. Rep.,,Salmonoids NEI,Tonnes - live weight,1991,0.0
Un. Sov. Soc. Rep.,,Sea mussels NEI,Tonnes - live weight,1991,20.0
Un. Sov. Soc. Rep.,,Sea trout,Tonnes - live weight,1991,83.0
Un. Sov. Soc. Rep.,,Silver carp,Tonnes - live weight,1991,77109.0
Un. Sov. Soc. Rep.,,Sockeye(=Red) salmon,Tonnes - live weight,1991,0.0
Un. Sov. Soc. Rep.,,Sturgeons NEI,Tonnes - live weight,1991,74.0
Un. Sov. Soc. Rep.,,Trouts NEI,Tonnes - live weight,1991,442.0
Un. Sov. Soc. Rep.,,Whitefishes NEI,Tonnes - live weight,1991,3508.0
Un. Sov. Soc. Rep.,,Yesso scallop,Tonnes - live weight,1991,153.0
Un. Sov. Soc. Rep.,,Brown seaweeds,Tonnes - live weight,1990,5388.0
Un. Sov. Soc. Rep.,,Chum(=Keta=Dog) salmon,Tonnes - live weight,1990,0.0
Un. Sov. Soc. Rep.,,Common carp,Tonnes - live weight,1990,319766.0
Un. Sov. Soc. Rep.,,Flatfishes NEI,Tonnes - live weight,1990,20.0
Un. Sov. Soc. Rep.,,Grass carp(=White amur),Tonnes - live weight,1990,2669.0
Un. Sov. Soc. Rep.,,Mediterranean mussel,Tonnes - live weight,1990,0.0
Un. Sov. Soc. Rep.,,Mullets NEI,Tonnes - live weight,1990,40.0
Un. Sov. Soc. Rep.,,Peled,Tonnes - live weight,1990,10.0
Un. Sov. Soc. Rep.,,Rainbow trout,Tonnes - live weight,1990,1577.0
Un. Sov. Soc. Rep.,,Salmonoids NEI,Tonnes - live weight,1990,0.0
Un. Sov. Soc. Rep.,,Sea mussels NEI,Tonnes - live weight,1990,35.0
Un. Sov. Soc. Rep.,,Sea trout,Tonnes - live weight,1990,324.0
Un. Sov. Soc. Rep.,,Silver carp,Tonnes - live weight,1990,86341.0
Un. Sov. Soc. Rep.,,Sockeye(=Red) salmon,Tonnes - live weight,1990,0.0
Un. Sov. Soc. Rep.,,Sturgeons NEI,Tonnes - live weight,1990,68.0
Un. Sov. Soc. Rep.,,Trouts NEI,Tonnes - live weight,1990,453.0
Un. Sov. Soc. Rep.,,Whitefishes NEI,Tonnes - live weight,1990,1462.0
Un. Sov. Soc. Rep.,,Yesso scallop,Tonnes - live weight,1990,124.0
Un. Sov. Soc. Rep.,,Brown seaweeds,Tonnes - live weight,1989,3070.0
Un. Sov. Soc. Rep.,,Chum(=Keta=Dog) salmon,Tonnes - live weight,1989,0.0
Un. Sov. Soc. Rep.,,Common carp,Tonnes - live weight,1989,255713.0
Un. Sov. Soc. Rep.,,Flatfishes NEI,Tonnes - live weight,1989,0.0
Un. Sov. Soc. Rep.,,Grass carp(=White amur),Tonnes - live weight,1989,24.0
Un. Sov. Soc. Rep.,,Mediterranean mussel,Tonnes - live weight,1989,0.0
Un. Sov. Soc. Rep.,,Mullets NEI,Tonnes - live weight,1989,0.0
Un. Sov. Soc. Rep.,,Peled,Tonnes - live weight,1989,7.0
Un. Sov. Soc. Rep.,,Rainbow trout,Tonnes - live weight,1989,1598.0
Un. Sov. Soc. Rep.,,Salmonoids NEI,Tonnes - live weight,1989,0.0
Un. Sov. Soc. Rep.,,Sea mussels NEI,Tonnes - live weight,1989,206.0
Un. Sov. Soc. Rep.,,Sea trout,Tonnes - live weight,1989,47.0
Un. Sov. Soc. Rep.,,Silver carp,Tonnes - live weight,1989,87094.0
Un. Sov. Soc. Rep.,,Sockeye(=Red) salmon,Tonnes - live weight,1989,0.0
Un. Sov. Soc. Rep.,,Sturgeons NEI,Tonnes - live weight,1989,250.0
Un. Sov. Soc. Rep.,,Trouts NEI,Tonnes - live weight,1989,431.0
Un. Sov. Soc. Rep.,,Whitefishes NEI,Tonnes - live weight,1989,3392.0
Un. Sov. Soc. Rep.,,Yesso scallop,Tonnes - live weight,1989,104.0
Un. Sov. Soc. Rep.,,Brown seaweeds,Tonnes - live weight,1988,5000.0
Un. Sov. Soc. Rep.,,Chum(=Keta=Dog) salmon,Tonnes - live weight,1988,0.0
Un. Sov. Soc. Rep.,,Common carp,Tonnes - live weight,1988,217047.0
Un. Sov. Soc. Rep.,,Flatfishes NEI,Tonnes - live weight,1988,8.0
Un. Sov. Soc. Rep.,,Grass carp(=White amur),Tonnes - live weight,1988,9.0
Un. Sov. Soc. Rep.,,Mediterranean mussel,Tonnes - live weight,1988,0.0
Un. Sov. Soc. Rep.,,Mullets NEI,Tonnes - live weight,1988,77.0
Un. Sov. Soc. Rep.,,Peled,Tonnes - live weight,1988,73.0
Un. Sov. Soc. Rep.,,Rainbow trout,Tonnes - live weight,1988,1808.0
